x,y1,y2
-4,0.126592,0.756802
-3.99199,0.126592,0.751544
-3.98398,0.126592,0.746237
-3.97598,0.126592,0.740882
-3.96797,0.126592,0.73548
-3.95996,0.126592,0.730031
-3.95195,0.126592,0.724535
-3.94394,0.126592,0.718992
-3.93594,0.126592,0.713404
-3.92793,0.126592,0.707769
-3.91992,0.126592,0.702089
-3.91191,0.126592,0.696364
-3.9039,0.126592,0.690595
-3.8959,0.126592,0.684781
-3.88789,0.126592,0.678923
-3.87988,0.126592,0.673022
-3.87187,0.126592,0.667078
-3.86386,0.126592,0.66109
-3.85586,0.126592,0.655061
-3.84785,0.126592,0.648989
-3.83984,0.126592,0.642876
-3.83183,0.126592,0.636722
-3.82382,0.126592,0.630526
-3.81582,0.126592,0.624291
-3.80781,0.126592,0.618015
-3.7998,0.126592,0.6117
-3.79179,0.126592,0.605345
-3.78378,0.126592,0.598952
-3.77578,0.126592,0.59252
-3.76777,0.126592,0.58605
-3.75976,0.126592,0.579542
-3.75175,0.126592,0.572998
-3.74374,0.126592,0.566417
-3.73574,0.126592,0.559799
-3.72773,0.126592,0.553145
-3.71972,0.126592,0.546456
-3.71171,0.126592,0.539732
-3.7037,0.126592,0.532974
-3.6957,0.126592,0.526181
-3.68769,0.126592,0.519354
-3.67968,0.126592,0.512494
-3.67167,0.126592,0.505602
-3.66366,0.126592,0.498676
-3.65566,0.126592,0.491719
-3.64765,0.126592,0.48473
-3.63964,0.126592,0.477711
-3.63163,0.126592,0.47066
-3.62362,0.126592,0.46358
-3.61562,0.126592,0.456469
-3.60761,0.126592,0.44933
-3.5996,0.126592,0.442161
-3.59159,0.126592,0.434965
-3.58358,0.126592,0.42774
-3.57558,0.126592,0.420488
-3.56757,0.126592,0.413209
-3.55956,0.126592,0.405903
-3.55155,0.126592,0.398572
-3.54354,0.126592,0.391214
-3.53554,0.126592,0.383832
-3.52753,0.126592,0.376425
-3.51952,0.126592,0.368994
-3.51151,0.126592,0.36154
-3.5035,0.126592,0.354062
-3.4955,0.126592,0.346561
-3.48749,0.126592,0.339039
-3.47948,0.126592,0.331494
-3.47147,0.126592,0.323928
-3.46346,0.126592,0.316342
-3.45546,0.126592,0.308735
-3.44745,0.126592,0.301108
-3.43944,0.126592,0.293462
-3.43143,0.126592,0.285798
-3.42342,0.126592,0.278115
-3.41542,0.126592,0.270414
-3.40741,0.126592,0.262695
-3.3994,0.126592,0.25496
-3.39139,0.126592,0.247209
-3.38338,0.126592,0.239442
-3.37538,0.126592,0.231659
-3.36737,0.126592,0.223861
-3.35936,0.126592,0.21605
-3.35135,0.126592,0.208224
-3.34334,0.126592,0.200385
-3.33534,0.126592,0.192533
-3.32733,0.126592,0.184669
-3.31932,0.126592,0.176793
-3.31131,0.126592,0.168905
-3.3033,0.126592,0.161007
-3.2953,0.126592,0.153098
-3.28729,0.126592,0.14518
-3.27928,0.126592,0.137252
-3.27127,0.126592,0.129315
-3.26326,0.126592,0.121371
-3.25526,0.126592,0.113418
-3.24725,0.126592,0.105458
-3.23924,0.126592,0.0974915
-3.23123,0.126592,0.0895186
-3.22322,0.126592,0.0815399
-3.21522,0.126592,0.0735561
-3.20721,0.126592,0.0655675
-3.1992,0.126592,0.0575747
-3.19119,0.126592,0.0495782
-3.18318,0.126592,0.0415785
-3.17518,0.126592,0.0335762
-3.16717,0.126592,0.0255717
-3.15916,0.126592,0.0175656
-3.15115,0.126592,0.00955835
-3.14314,0.126592,0.00155049
-3.13514,0.126592,-0.00645747
-3.12713,0.126592,-0.014465
-3.11912,0.126592,-0.0224716
-3.11111,0.126592,-0.0304768
-3.1031,0.126592,-0.03848
-3.0951,0.126592,-0.0464808
-3.08709,0.126592,-0.0544786
-3.07908,0.126592,-0.0624729
-3.07107,0.126592,-0.0704631
-3.06306,0.126592,-0.0784489
-3.05506,0.126592,-0.0864296
-3.04705,0.126592,-0.0944048
-3.03904,0.126592,-0.102374
-3.03103,0.126592,-0.110337
-3.02302,0.126592,-0.118292
-3.01502,0.126592,-0.12624
-3.00701,0.126592,-0.13418
-2.999,0.126592,-0.142111
-2.99099,0.126592,-0.150033
-2.98298,0.126592,-0.157945
-2.97497,0.126592,-0.165848
-2.96697,0.126592,-0.17374
-2.95896,0.126592,-0.18162
-2.95095,0.126592,-0.189489
-2.94294,0.126592,-0.197346
-2.93493,0.126592,-0.20519
-2.92693,0.126592,-0.213021
-2.91892,0.126592,-0.220838
-2.91091,0.126592,-0.228641
-2.9029,0.126592,-0.23643
-2.89489,0.126592,-0.244203
-2.88689,0.126592,-0.251961
