x,y1,y2
-4,-1,-4
-3.99199,-1,-3.99199
-3.98398,-1,-3.98398
-3.97598,-1,-3.97598
-3.96797,-1,-3.96797
-3.95996,-1,-3.95996
-3.95195,-1,-3.95195
-3.94394,-1,-3.94394
-3.93594,-1,-3.93594
-3.92793,-1,-3.92793
-3.91992,-1,-3.91992
-3.91191,-1,-3.91191
-3.9039,-1,-3.9039
-3.8959,-1,-3.8959
-3.88789,-1,-3.88789
-3.87988,-1,-3.87988
-3.87187,-1,-3.87187
-3.86386,-1,-3.86386
-3.85586,-1,-3.85586
-3.84785,-1,-3.84785
-3.83984,-1,-3.83984
-3.83183,-1,-3.83183
-3.82382,-1,-3.82382
-3.81582,-1,-3.81582
-3.80781,-1,-3.80781
-3.7998,-1,-3.7998
-3.79179,-1,-3.79179
-3.78378,-1,-3.78378
-3.77578,-1,-3.77578
-3.76777,-1,-3.76777
-3.75976,-1,-3.75976
-3.75175,-1,-3.75175
-3.74374,-1,-3.74374
-3.73574,-1,-3.73574
-3.72773,-1,-3.72773
-3.71972,-1,-3.71972
-3.71171,-1,-3.71171
-3.7037,-1,-3.7037
-3.6957,-1,-3.6957
-3.68769,-1,-3.68769
-3.67968,-1,-3.67968
-3.67167,-1,-3.67167
-3.66366,-1,-3.66366
-3.65566,-1,-3.65566
-3.64765,-1,-3.64765
-3.63964,-1,-3.63964
-3.63163,-1,-3.63163
-3.62362,-1,-3.62362
-3.61562,-1,-3.61562
-3.60761,-1,-3.60761
-3.5996,-1,-3.5996
-3.59159,-1,-3.59159
-3.58358,-1,-3.58358
-3.57558,-1,-3.57558
-3.56757,-1,-3.56757
-3.55956,-1,-3.55956
-3.55155,-1,-3.55155
-3.54354,-1,-3.54354
-3.53554,-1,-3.53554
-3.52753,-1,-3.52753
-3.51952,-1,-3.51952
-3.51151,-1,-3.51151
-3.5035,-1,-3.5035
-3.4955,-1,-3.4955
-3.48749,-1,-3.48749
-3.47948,-1,-3.47948
-3.47147,-1,-3.47147
-3.46346,-1,-3.46346
-3.45546,-1,-3.45546
-3.44745,-1,-3.44745
-3.43944,-1,-3.43944
-3.43143,-1,-3.43143
-3.42342,-1,-3.42342
-3.41542,-1,-3.41542
-3.40741,-1,-3.40741
-3.3994,-1,-3.3994
-3.39139,-1,-3.39139
-3.38338,-1,-3.38338
-3.37538,-1,-3.37538
-3.36737,-1,-3.36737
-3.35936,-1,-3.35936
-3.35135,-1,-3.35135
-3.34334,-1,-3.34334
-3.33534,-1,-3.33534
-3.32733,-1,-3.32733
-3.31932,-1,-3.31932
-3.31131,-1,-3.31131
-3.3033,-1,-3.3033
-3.2953,-1,-3.2953
-3.28729,-1,-3.28729
-3.27928,-1,-3.27928
-3.27127,-1,-3.27127
-3.26326,-1,-3.26326
-3.25526,-1,-3.25526
